train_id,station_code,date,day_of_week,month,scheduled_hour,zone,historical_avg_delay,actual_delay_min
12014,LDH,2024-11-23,5,11,18,NR,10,19.2
12841,BBS,2024-05-05,6,5,19,ECoR,14,22.5
12621,JHS,2024-04-24,2,4,3,NCR,15,17.1
12001,NDLS,2024-10-06,6,10,6,NR,10,17.7
12559,PRYJ,2024-02-14,2,2,0,NCR,15,21.8
12859,R,2024-02-17,5,2,17,SECR,13,18.8
12621,NDLS,2024-04-21,6,4,22,NR,10,14.0
12905,AII,2024-10-14,0,10,18,NWR,9,35.7
15929,PNBE,2024-04-11,3,4,18,ECR,20,30.4
12560,CNB,2024-08-02,4,8,10,NCR,15,17.8
12951,NDLS,2024-04-22,0,4,8,NR,10,33.9
12622,JHS,2024-01-04,3,1,1,NCR,15,13.7
12841,VSKP,2024-03-22,4,3,22,ECoR,14,15.5
12302,HWH,2024-03-20,2,3,14,ER,18,16.0
12842,KGP,2024-04-20,5,4,20,SER,16,19.1
12952,KOTA,2024-02-17,5,2,21,WCR,11,9.8
12014,NDLS,2024-07-13,5,7,22,NR,10,18.5
12001,GWL,2024-11-05,1,11,9,NCR,15,28.8
12302,GAYA,2024-05-15,2,5,16,ECR,20,35.5
12014,CDG,2024-10-01,1,10,18,NR,10,16.2
12841,MAS,2024-03-04,0,3,4,SR,7,7.4
11042,CSMT,2024-10-09,2,10,1,CR,12,13.6
12559,PRYJ,2024-05-30,3,5,0,NCR,15,25.5
12841,KGP,2024-07-04,3,7,16,SER,16,19.7
12860,CSMT,2024-10-22,1,10,8,CR,12,28.4
12622,NDLS,2024-12-04,2,12,6,NR,10,14.5
12001,BPL,2024-04-26,4,4,13,WCR,11,19.5
12951,NDLS,2024-04-29,0,4,8,NR,10,9.9
12014,ASR,2024-02-21,2,2,16,NR,10,15.0
12621,BZA,2024-07-05,4,7,15,SCR,10,20.1
16526,ERS,2024-03-24,6,3,7,SR,7,26.8
16526,TVC,2024-05-16,3,5,7,SR,7,23.4
12014,NDLS,2024-12-25,2,12,22,NR,10,32.5
12951,BCT,2024-11-07,3,11,17,WR,8,18.4
12951,MTJ,2024-11-21,3,11,7,NCR,15,26.2
12951,MTJ,2024-03-24,6,3,7,NCR,15,26.0
12905,MTJ,2024-08-24,5,8,21,NCR,15,19.4
15930,PRYJ,2024-11-23,5,11,0,NCR,15,25.8
12859,HWH,2024-12-18,2,12,1,ER,18,14.3
12721,NGP,2024-01-29,0,1,10,CR,12,12.9
11042,PUNE,2024-04-27,5,4,22,CR,12,10.7
12859,KGP,2024-07-24,2,7,23,SER,16,21.3
12559,PRYJ,2024-05-17,4,5,0,NCR,15,22.9
12842,HWH,2024-10-17,3,10,22,ER,18,21.8
12657,SBC,2024-06-10,0,6,4,SWR,6,13.1
16525,CBE,2024-11-25,0,11,9,SR,7,25.0
12722,NDLS,2024-08-22,3,8,22,NR,10,17.2
12657,MAS,2024-10-14,0,10,22,SR,7,9.4
12951,KOTA,2024-10-02,2,10,3,WCR,11,18.5
12952,KOTA,2024-10-25,4,10,21,WCR,11,27.0
12952,KOTA,2024-07-23,1,7,21,WCR,11,11.9
12560,NDLS,2024-03-11,0,3,15,NR,10,28.0
12841,MAS,2024-09-17,1,9,4,SR,7,3.9
15930,CNB,2024-02-26,0,2,1,NCR,15,19.8
12301,PRYJ,2024-03-19,1,3,22,NCR,15,16.2
12301,HWH,2024-08-04,6,8,3,ER,18,15.8
12658,MAS,2024-11-01,4,11,12,SR,7,19.1
12722,NDLS,2024-08-27,1,8,22,NR,10,19.5
12002,NDLS,2024-09-27,4,9,1,NR,10,8.1
12013,ASR,2024-01-06,5,1,13,NR,10,11.4
15930,GHY,2024-12-14,5,12,12,NFR,25,31.3
12621,MAS,2024-10-01,1,10,19,SR,7,14.2
12002,GWL,2024-05-16,3,5,21,NCR,15,24.0
12722,NDLS,2024-05-30,3,5,22,NR,10,11.0
12842,BBS,2024-08-10,5,8,18,ECoR,14,33.6
11041,MAS,2024-05-14,1,5,18,SR,7,25.0
12622,NGP,2024-09-13,4,9,20,CR,12,17.2
12906,RJT,2024-02-24,5,2,8,WR,8,17.0
12951,NDLS,2024-11-16,5,11,8,NR,10,13.4
12951,NDLS,2024-11-07,3,11,8,NR,10,27.7
16525,CBE,2024-04-11,3,4,9,SR,7,21.5
12560,NDLS,2024-10-03,3,10,15,NR,10,15.0
12559,BSB,2024-09-28,5,9,2,NER,22,19.0
12014,CDG,2024-09-07,5,9,18,NR,10,14.5
15929,DBRG,2024-01-10,2,1,8,NFR,25,40.6
12302,PRYJ,2024-06-06,3,6,18,NCR,15,37.6
12842,VSKP,2024-05-02,3,5,15,ECoR,14,23.3
12906,NDLS,2024-02-10,5,2,22,NR,10,12.4
12951,ST,2024-02-13,1,2,19,WR,8,19.3
12952,MTJ,2024-09-29,6,9,17,NCR,15,18.0
15930,NDLS,2024-03-05,1,3,6,NR,10,15.7
12657,SBC,2024-10-08,1,10,4,SWR,6,6.8
12560,CNB,2024-03-25,0,3,10,NCR,15,20.4
12841,VSKP,2024-08-04,6,8,22,ECoR,14,25.3
15930,DBRG,2024-04-18,3,4,8,NFR,25,42.1
12842,VSKP,2024-12-19,3,12,15,ECoR,14,16.1
12859,CSMT,2024-04-12,4,4,6,CR,12,17.5
11042,MAS,2024-12-09,0,12,7,SR,7,19.1
11041,PUNE,2024-11-28,3,11,3,CR,12,5.3
15929,GHY,2024-08-19,0,8,3,NFR,25,38.7
16525,ERS,2024-03-02,5,3,14,SR,7,6.1
16526,SBC,2024-01-11,3,1,15,SWR,6,33.1
12721,SC,2024-10-28,0,10,16,SCR,10,6.7
15929,DBRG,2024-01-04,3,1,8,NFR,25,33.5
12951,BCT,2024-02-06,1,2,17,WR,8,23.4
11042,MAS,2024-02-04,6,2,7,SR,7,11.3
12841,MAS,2024-01-17,2,1,4,SR,7,7.7
12860,CSMT,2024-05-01,2,5,8,CR,12,22.8
12905,MTJ,2024-05-22,2,5,21,NCR,15,14.7
12722,NDLS,2024-03-08,4,3,22,NR,10,14.8
12622,NDLS,2024-10-19,5,10,6,NR,10,13.9
12721,JHS,2024-08-30,4,8,5,NCR,15,26.5
11042,SC,2024-07-27,5,7,15,SCR,10,16.0
11042,MAS,2024-08-08,3,8,7,SR,7,27.3
12906,RJT,2024-06-30,6,6,8,WR,8,15.1
12906,RJT,2024-01-28,6,1,8,WR,8,17.9
12559,BSB,2024-12-10,1,12,2,NER,22,20.3
15930,NDLS,2024-02-01,3,2,6,NR,10,8.6
12952,KOTA,2024-07-25,3,7,21,WCR,11,19.6
12721,AGC,2024-02-25,6,2,2,NCR,15,2.7
12621,AGC,2024-05-07,1,5,0,NCR,15,17.0
12859,HWH,2024-03-12,1,3,1,ER,18,20.7
